,key_0,mean_rating,user_rating
0,as1,3.4671314741035855,502
1,as10,3.439571150097466,513
2,as100,3.609302325581395,430
3,as1000,3.556701030927835,485
4,as1001,3.5852878464818763,469
5,as1002,3.5997830802603037,461
6,as1003,3.5098253275109172,458
7,as1004,3.4835051546391753,485
8,as1005,3.577004219409283,474
9,as1006,3.478215767634855,482
10,as1007,3.5626304801670146,479
11,as1008,3.447198275862069,464
12,as1009,3.503061224489796,490
13,as101,3.5323590814196244,479
14,as1010,3.60752688172043,465
15,as1011,3.408811475409836,488
16,as1012,3.5265748031496065,508
17,as1013,3.6188436830835116,467
18,as1014,3.4899193548387095,496
19,as1015,3.5838445807770962,489
20,as1016,3.520661157024793,484
21,as1017,3.5757575757575757,429
22,as1018,3.5658995815899583,478
23,as1019,3.482832618025751,466
24,as102,3.4162735849056602,424
25,as1020,3.562381852551985,529
26,as1021,3.591880341880342,468
27,as1022,3.5427698574338087,491
28,as1023,3.50796812749004,502
29,as1024,3.543824701195219,502
30,as1025,3.5737527114967462,461
31,as1026,3.5226781857451406,463
32,as1027,3.5134228187919465,447
33,as1028,3.478439425051335,487
34,as1029,3.5921325051759836,483
35,as103,3.5795964125560538,446
36,as1030,3.558212058212058,481
37,as1031,3.5,479
38,as1032,3.4989690721649485,485
39,as1033,3.5096359743040684,467
40,as1034,3.5799220272904484,513
41,as1035,3.5052301255230125,478
42,as1036,3.5582329317269075,498
43,as1037,3.5339366515837103,442
44,as1038,3.6294466403162056,506
45,as1039,3.559734513274336,452
46,as104,3.5388888888888888,450
47,as1040,3.530590717299578,474
48,as1041,3.4946120689655173,464
49,as1042,3.5551181102362204,508
50,as1043,3.505364806866953,466
51,as1044,3.426695842450766,457
52,as1045,3.5422832980972516,473
53,as1046,3.6373390557939915,466
54,as1047,3.518987341772152,474
55,as1048,3.445770065075922,461
56,as1049,3.535211267605634,497
57,as105,3.582089552238806,469
58,as1050,3.576923076923077,507
59,as1051,3.5233009708737866,515
60,as1052,3.546201232032854,487
61,as1053,3.511340206185567,485
62,as1054,3.521696252465483,507
63,as1055,3.609730848861284,483
64,as1056,3.53862660944206,466
65,as1057,3.5686274509803924,459
66,as1058,3.529835390946502,486
67,as1059,3.508,500
68,as106,3.523421588594705,491
69,as1060,3.5464135021097047,474
70,as1061,3.471057884231537,501
71,as1062,3.559748427672956,477
72,as1063,3.534136546184739,498
73,as1064,3.5366598778004072,491
74,as1065,3.4701986754966887,453
75,as1066,3.5301075268817206,465
76,as1067,3.559912854030501,459
77,as1068,3.5225409836065573,488
78,as1069,3.6065400843881856,474
79,as107,3.5838852097130243,453
80,as1070,3.473372781065089,507
81,as1071,3.5369127516778525,447
82,as1072,3.591,500
83,as1073,3.63412017167382,466
84,as1074,3.5326797385620914,459
85,as1075,3.5435222672064777,494
86,as1076,3.502988047808765,502
87,as1077,3.4832589285714284,448
88,as1078,3.5144628099173554,484
89,as1079,3.5615384615384613,455
90,as108,3.5558882235528944,501
91,as1080,3.5065298507462686,536
92,as1081,3.6044444444444443,450
